,City,Country,Latitude,Longitude,Date,Temperature,Wind_Speed,Cloud_cover,Humidity
274,Mogadishu,SO,2.04,45.34,1597558325,78.8,12.75,40,65
275,Moose Factory,CA,51.26,-80.61,1597558077,66.2,4.7,90,93
276,Tuatapere,NZ,-46.13,167.68,1597558244,45.0,3.0,34,89
277,Ous,RU,60.91,61.52,1597558329,61.45,7.49,9,50
278,Maturin,VE,9.75,-63.18,1597558331,73.35,3.33,24,97
279,Fergus Falls,US,46.28,-96.08,1597558332,63.0,4.7,1,88
280,Kuantan,MY,3.81,103.33,1597558226,87.8,5.82,40,74
281,Boende,CD,-0.22,20.87,1597558334,75.9,3.0,70,86
282,Baghdad,IQ,33.34,44.4,1597558220,96.8,14.99,0,28
283,Alice Springs,AU,-23.7,133.88,1597558337,82.4,17.22,0,14
284,Hong Kong,HK,22.29,114.16,1597557755,89.01,11.43,82,66
285,La Labor,HN,14.48,-89.0,1597558340,64.71,2.37,52,89
286,Solnechnyy,RU,50.72,136.63,1597558341,58.15,3.18,100,94
287,Mukhen,RU,48.1,136.1,1597558343,70.34,10.51,57,70
288,Scarborough,GB,54.28,-0.4,1597558344,59.0,3.0,99,94
289,Liberty,US,31.83,-81.5,1597558345,77.0,3.36,1,94
290,Mogadouro,PT,41.34,-6.71,1597558346,48.0,3.94,69,89
291,Knysna,ZA,-34.04,23.05,1597558349,46.4,17.22,20,70
292,Maragogi,BR,-9.01,-35.22,1597557715,73.04,4.81,51,90
293,Lázaro Cárdenas,MX,17.96,-102.2,1597557935,81.09,3.51,80,84
294,Swan Hill,AU,-35.34,143.55,1597558352,58.51,12.26,31,64
295,Iqaluit,CA,63.75,-68.51,1597558066,42.8,14.99,90,93
296,Nanortalik,GL,60.14,-45.24,1597558355,41.32,3.78,76,83
297,French Harbor,HN,16.35,-86.43,1597558327,83.71,13.6,100,79
298,Battle Creek,US,42.32,-85.18,1597558357,69.8,3.36,75,88
299,Clonakilty,IE,51.62,-8.87,1597558359,62.01,5.82,75,100
300,Easley,US,34.83,-82.6,1597558360,71.01,8.08,75,100
301,Batemans Bay,AU,-35.72,150.18,1597557923,55.99,5.99,96,74
302,Tiruchchendur,IN,8.48,78.12,1597558362,87.31,7.72,94,56
303,Nabire,ID,-3.37,135.48,1597558364,85.66,4.65,38,66
304,Half Moon Bay,US,37.46,-122.43,1597558365,80.01,5.82,1,82
305,Kaitangata,NZ,-46.28,169.85,1597557806,46.0,4.0,70,75
306,Namatanai,PG,-3.67,152.43,1597557865,82.31,7.11,67,77
307,Te Anau,NZ,-45.42,167.72,1597558161,39.67,0.34,86,84
308,Haines Junction,CA,60.75,-137.51,1597558370,49.46,2.98,100,86
309,Chase,CA,50.82,-119.69,1597558372,60.01,1.88,0,88
310,Dentsville,US,34.06,-80.96,1597558373,75.2,3.36,20,88
311,Chapais,CA,49.78,-74.85,1597558374,62.6,8.05,20,72
312,Oistins,BB,13.07,-59.53,1597558169,82.4,5.82,40,83
313,Narsaq,GL,60.92,-46.05,1597558089,44.6,4.7,78,65
314,Cap Malheureux,MU,-19.98,57.61,1597557963,75.99,14.0,71,59
315,Garden City,US,42.33,-83.33,1597558379,75.99,8.05,75,83
316,Hoima,UG,1.44,31.34,1597558380,70.93,0.89,97,84
317,Mangai,CD,-4.05,19.53,1597558382,77.31,3.51,55,76
318,Vila Franca do Campo,PT,37.72,-25.43,1597558383,71.6,14.99,20,88
319,Jalalpur Pirwala,PK,29.51,71.22,1597558384,107.58,6.46,14,29
320,Butembo,CD,0.15,29.28,1597558386,64.47,1.48,100,94
321,Mitsamiouli,KM,-11.38,43.28,1597557869,75.2,5.82,75,88
322,Cukai,MY,4.25,103.42,1597558388,86.0,3.36,40,79
323,Esperance,AU,-33.87,121.9,1597557900,60.8,26.4,40,63
324,Taoudenni,ML,22.68,-3.98,1597558391,97.29,7.11,0,12
325,San Andrés,CO,12.58,-81.7,1597558040,78.8,2.24,90,94
326,Bilibino,RU,68.05,166.44,1597558393,54.27,1.97,73,66
327,Juneau,US,58.3,-134.42,1597558242,55.4,3.36,75,93
328,Nyurba,RU,63.28,118.33,1597558396,56.82,7.29,69,48
329,Verkhoyansk,RU,67.54,133.38,1597558397,47.1,3.65,95,53
330,Coihueco,CL,-36.62,-71.83,1597558399,39.2,9.17,30,75
331,Alihe,CN,50.57,123.72,1597558400,78.01,0.89,42,45
332,Dingolfing,DE,48.63,12.5,1597558401,64.0,1.99,9,100
333,Kurchum,KZ,48.57,83.65,1597558402,75.97,9.73,0,37
334,Wagar,SD,16.15,36.2,1597558347,84.94,13.8,86,54
335,Quatre Cocos,MU,-20.21,57.76,1597558169,75.99,21.92,40,57
336,Alassio,IT,44.0,8.17,1597558406,77.0,6.93,40,100
337,São José da Coroa Grande,BR,-8.9,-35.15,1597558242,73.67,6.13,62,88
338,Borba,BR,-4.39,-59.59,1597558314,79.41,2.04,58,51
339,Turaif,SA,31.67,38.66,1597558209,78.8,6.93,0,36
340,Marabu,MY,4.41,114.01,1597558298,87.8,8.05,40,70
341,Dourados,BR,-22.22,-54.81,1597558412,68.29,3.76,96,97
342,Corralillo,CU,22.98,-80.59,1597558414,79.34,9.6,9,86
343,Comodoro Rivadavia,AR,-45.87,-67.5,1597558131,51.8,31.09,32,68
344,Ostrovnoy,RU,68.05,39.51,1597557859,51.57,18.16,100,76
345,Kaohsiung City,TW,22.62,120.31,1597558324,87.8,10.29,75,66
346,Husavik,IS,66.04,-17.34,1597558025,41.0,5.82,71,100
347,Necochea,AR,-38.55,-58.74,1597558225,33.01,7.0,0,74
348,Hithadhoo,MV,-0.6,73.08,1597558421,83.86,5.99,12,71
349,Nālūt,LY,30.33,10.85,1597558423,80.94,8.43,0,25
350,Rio Grande,BR,-32.03,-52.1,1597558424,39.0,10.49,0,96
351,Kaabong,UG,3.48,34.15,1597558425,69.04,7.02,100,74
352,Port Keats,AU,-14.25,129.55,1597558426,83.98,11.12,1,54
353,Nemuro,JP,43.32,145.57,1597558428,71.6,6.93,75,83
354,Menongue,AO,-14.66,17.69,1597558429,56.37,2.44,0,36
